Error date: Fri May 7 16:45:58 CEST 2021' | Error details: Undefined variable $src
Error date: Fri May 7 16:45:58 CEST 2021' | Error details: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MariaDB server version for the right syntax to use near ')              GROUP BY job_id              ORDER BY sep_available_jobs.j...' at line 18
Error date: Fri May 7 16:45:58 CEST 2021' | Error details: Undefined variable $src
Error date: Fri May 7 16:46:29 CEST 2021' | Error details: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MariaDB server version for the right syntax to use near ')              GROUP BY job_id              ORDER BY sep_available_jobs.j...' at line 18
Error date: Fri May 7 16:46:29 CEST 2021' | Error details: Undefined variable $src
Error date: Fri May 7 16:46:32 CEST 2021' | Error details: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MariaDB server version for the right syntax to use near ')              GROUP BY job_id              ORDER BY sep_available_jobs.j...' at line 18
Error date: Fri May 7 16:46:32 CEST 2021' | Error details: Undefined variable $src
Error date: Fri May 7 16:46:32 CEST 2021' | Error details: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MariaDB server version for the right syntax to use near ')              GROUP BY job_id              ORDER BY sep_available_jobs.j...' at line 18
Error date: Fri May 7 16:46:32 CEST 2021' | Error details: Undefined variable $src
Error date: Fri May 7 16:46:58 CEST 2021' | Error details: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MariaDB server version for the right syntax to use near ')              GROUP BY job_id              ORDER BY sep_available_jobs.j...' at line 18
Error date: Fri May 7 17:26:57 CEST 2021' | Error details: Undefined array key "email"
Error date: Fri May 7 17:33:52 CEST 2021' | Error details: Undefined array key "email"
Error date: Fri May 7 17:43:52 CEST 2021' | Error details: Undefined array key "email"
